timestamp,filepath,true_label,predicted_label,correct,latency_ms
2026-08-21T06:33:36.942957+00:00,data/raw/cats/cat_0007.jpg,cat,cat,True,39.67
2026-08-21T06:33:36.960702+00:00,data/raw/cats/cat_0040.jpg,cat,cat,True,17.68
2026-08-21T06:33:36.976812+00:00,data/raw/dogs/dog_0056.jpg,dog,dog,True,16.05
2026-08-21T06:33:36.992667+00:00,data/raw/dogs/dog_0055.jpg,dog,dog,True,15.8
2026-08-21T06:33:37.008937+00:00,data/raw/dogs/dog_0023.jpg,dog,dog,True,16.21
2026-08-21T06:33:37.025197+00:00,data/raw/cats/cat_0047.jpg,cat,cat,True,16.16
2026-08-21T06:33:37.041074+00:00,data/raw/dogs/dog_0039.jpg,dog,dog,True,15.82
2026-08-21T06:33:37.056836+00:00,data/raw/dogs/dog_0040.jpg,dog,dog,True,15.71
2026-08-21T06:33:37.072457+00:00,data/raw/cats/cat_0001.jpg,cat,cat,True,15.56
2026-08-21T06:33:37.088416+00:00,data/raw/dogs/dog_0053.jpg,dog,dog,True,15.9
2026-08-26T05:00:12.523403+00:00,data/raw\dogs\dog_00368.jpg,dog,dog,True,2888.17
2026-08-26T05:00:14.656723+00:00,data/raw\dogs\dog_00197.jpg,dog,cat,False,2133.32
2026-08-26T05:00:16.779714+00:00,data/raw\dogs\dog_00223.jpg,dog,dog,True,2122.0
2026-08-26T05:00:18.869097+00:00,data/raw\dogs\dog_00491.jpg,dog,dog,True,2088.4
2026-08-26T05:00:20.964795+00:00,data/raw\dogs\dog_00035.jpg,dog,dog,True,2095.7
2026-08-26T05:00:23.056747+00:00,data/raw\cats\cat_00287.jpg,cat,cat,True,2091.95
2026-08-26T05:00:25.171216+00:00,data/raw\cats\cat_00081.jpg,cat,cat,True,2114.47
2026-08-26T05:00:27.235258+00:00,data/raw\dogs\dog_00492.jpg,dog,cat,False,2064.04
2026-08-26T05:00:29.506015+00:00,data/raw\cats\cat_00366.jpg,cat,dog,False,2269.75
2026-08-26T05:00:31.578022+00:00,data/raw\cats\cat_00142.jpg,cat,dog,False,2072.01
2026-08-26T05:00:33.644589+00:00,data/raw\dogs\dog_00266.jpg,dog,dog,True,2064.59
2026-08-26T05:00:35.721276+00:00,data/raw\dogs\dog_00167.jpg,dog,dog,True,2076.69
2026-08-26T05:00:37.792171+00:00,data/raw\cats\cat_00013.jpg,cat,cat,True,2070.9
2026-08-26T05:00:39.862276+00:00,data/raw\cats\cat_00101.jpg,cat,cat,True,2069.71
2026-08-26T05:00:41.941960+00:00,data/raw\dogs\dog_00097.jpg,dog,cat,False,2079.06
2026-08-26T05:00:44.046501+00:00,data/raw\dogs\dog_00412.jpg,dog,dog,True,2104.54
2026-08-26T05:00:46.157875+00:00,data/raw\dogs\dog_00206.jpg,dog,cat,False,2110.38
2026-08-26T05:00:48.236634+00:00,data/raw\dogs\dog_00222.jpg,dog,cat,False,2077.75
2026-08-26T05:00:50.321493+00:00,data/raw\dogs\dog_00379.jpg,dog,dog,True,2083.85
2026-08-26T05:00:52.441649+00:00,data/raw\dogs\dog_00063.jpg,dog,dog,True,2120.16
